,date,threshold,density,max_clique,clique_size,valid_clique
38,2014-09-30,0.4,0.3391812865497076,"{'MUB', 'GLD', 'SHY', 'TLT', 'TIP', 'BND'}",6,True
39,2015-02-28,0.4,0.3742690058479532,"{'VTI', 'VO', 'VB', 'DBE', 'VEU', 'VWO', 'USO'}",7,True
40,2015-07-31,0.4,0.4269005847953216,"{'VTI', 'MUB', 'VEU', 'VWO', 'TLT', 'TIP'}",6,True
41,2015-12-31,0.4,0.3508771929824561,"{'VTI', 'USRT', 'VO', 'VB', 'ICF', 'RWR'}",6,True
42,2016-05-31,0.4,0.38011695906432746,"{'VTI', 'MUB', 'VB', 'VEU', 'TLT', 'BND'}",6,True
43,2016-10-31,0.4,0.3742690058479532,"{'MUB', 'GLD', 'SLV', 'TLT', 'TIP', 'SHY', 'BND'}",7,True
44,2017-03-31,0.4,0.5497076023391813,"{'MUB', 'GLD', 'USRT', 'ICF', 'RWR', 'SLV', 'SHY', 'TIP', 'BND'}",9,True
45,2017-08-31,0.4,0.3333333333333333,"{'VTI', 'USRT', 'VO', 'VB', 'ICF', 'VEU', 'RWR'}",7,True
46,2008-06-30,0.5,0.4269005847953216,"{'VTI', 'VO', 'ICF', 'RWR', 'TLT', 'TIP'}",6,True
47,2008-11-30,0.5,0.5614035087719298,"{'VTI', 'USRT', 'VO', 'VB', 'ICF', 'VEU', 'DBE', 'VWO', 'RWR', 'SLV', 'USO'}",11,True
48,2009-04-30,0.5,0.5087719298245614,"{'USRT', 'VO', 'VB', 'ICF', 'VEU', 'DBE', 'VWO', 'RWR', 'DBB', 'USO'}",10,True
49,2009-09-30,0.5,0.3742690058479532,"{'USRT', 'ICF', 'DBE', 'VEU', 'VWO', 'DBB', 'USO'}",7,True
50,2010-02-28,0.5,0.5672514619883041,"{'VTI', 'GLD', 'USRT', 'VO', 'VB', 'DBE', 'VEU', 'VWO', 'SLV', 'DBB', 'USO'}",11,True
51,2010-07-31,0.5,0.52046783625731,"{'VTI', 'VO', 'VB', 'ICF', 'VEU', 'RWR', 'SHY', 'TLT', 'BND'}",9,True
52,2010-12-31,0.5,0.19883040935672514,"{'DBB', 'VTI', 'VEU', 'VWO'}",4,True
53,2011-05-31,0.5,0.4093567251461988,"{'VTI', 'VB', 'DBE', 'VEU', 'SLV', 'USO'}",6,True
54,2011-10-31,0.5,0.6140350877192983,"{'VTI', 'USRT', 'VO', 'VB', 'ICF', 'VEU', 'DBE', 'VWO', 'RWR', 'TLT', 'BND'}",11,True
55,2012-03-31,0.5,0.4502923976608187,"{'VTI', 'VO', 'VB', 'ICF', 'VEU', 'DBE', 'VWO', 'RWR', 'DBB', 'USO'}",10,True
56,2012-08-31,0.5,0.23391812865497075,"{'VTI', 'VO', 'VB', 'VEU', 'VWO', 'USO'}",6,True
57,2013-01-31,0.5,0.25146198830409355,"{'USRT', 'VO', 'VB', 'ICF', 'RWR'}",5,True
58,2013-06-30,0.5,0.4678362573099415,"{'VTI', 'USRT', 'VO', 'VB', 'ICF', 'VEU', 'DBE', 'RWR', 'BND', 'USO'}",10,True
59,2013-11-30,0.5,0.23391812865497075,"{'USRT', 'ICF', 'VEU', 'VWO', 'RWR'}",5,True
60,2014-04-30,0.5,0.2222222222222222,"{'VTI', 'MUB', 'VO', 'VB', 'VEU', 'TLT', 'BND'}",7,True
61,2014-09-30,0.5,0.19298245614035087,"{'VTI', 'VO', 'VB', 'VEU', 'VWO'}",5,True
62,2015-02-28,0.5,0.26900584795321636,"{'USRT', 'VO', 'ICF', 'VEU', 'RWR'}",5,True
63,2015-07-31,0.5,0.2982456140350877,"{'VTI', 'MUB', 'VO', 'VB', 'VEU', 'SHY', 'BND'}",7,True
64,2015-12-31,0.5,0.23976608187134502,"{'VTI', 'USRT', 'VO', 'VB', 'ICF', 'VEU', 'VWO', 'RWR'}",8,True
65,2016-05-31,0.5,0.2982456140350877,"{'VTI', 'USRT', 'VO', 'VB', 'ICF', 'RWR'}",6,True
66,2016-10-31,0.5,0.26900584795321636,"{'VTI', 'VO', 'VB', 'VEU', 'VWO'}",5,True
67,2017-03-31,0.5,0.391812865497076,"{'VTI', 'VO', 'VB', 'VEU', 'VWO', 'DBB'}",6,True
68,2017-08-31,0.5,0.22807017543859648,"{'MUB', 'SHY', 'TLT', 'TIP', 'BND'}",5,True
69,2008-06-30,0.6000000000000001,0.2573099415204678,"{'VTI', 'USRT', 'VO', 'VB', 'ICF', 'RWR'}",6,True
70,2008-11-30,0.6000000000000001,0.42105263157894735,"{'VTI', 'VO', 'VB', 'DBE', 'VEU', 'VWO', 'RWR', 'SLV', 'USO'}",9,True
71,2009-04-30,0.6000000000000001,0.39766081871345027,"{'VTI', 'VO', 'VB', 'DBE', 'VEU', 'VWO', 'RWR', 'DBB', 'USO'}",9,True
72,2009-09-30,0.6000000000000001,0.26900584795321636,"{'VTI', 'USRT', 'VO', 'VB', 'ICF', 'VEU', 'RWR'}",7,True
73,2010-02-28,0.6000000000000001,0.4619883040935672,"{'VTI', 'GLD', 'VO', 'VB', 'DBE', 'VEU', 'VWO', 'SLV', 'DBB', 'USO'}",10,True
74,2010-07-31,0.6000000000000001,0.3684210526315789,"{'VTI', 'VO', 'VB', 'ICF', 'VEU', 'DBE', 'VWO', 'RWR', 'USO'}",9,True
75,2010-12-31,0.6000000000000001,0.14035087719298245,"{'VO', 'VB', 'VTI', 'VWO'}",4,True
76,2011-05-31,0.6000000000000001,0.2807017543859649,"{'USRT', 'VO', 'VB', 'ICF', 'VWO', 'RWR'}",6,True
77,2011-10-31,0.6000000000000001,0.5321637426900585,"{'VTI', 'VO', 'VB', 'ICF', 'VEU', 'DBE', 'VWO', 'RWR', 'TLT', 'BND'}",10,True
78,2012-03-31,0.6000000000000001,0.34502923976608185,"{'VTI', 'USRT', 'VB', 'ICF', 'RWR', 'DBB'}",6,True
79,2012-08-31,0.6000000000000001,0.17543859649122806,"{'VTI', 'VO', 'VEU', 'VWO', 'USO'}",5,True
80,2013-01-31,0.6000000000000001,0.1695906432748538,"{'VTI', 'USRT', 'VO', 'VB', 'ICF', 'RWR'}",6,True
81,2013-06-30,0.6000000000000001,0.3216374269005848,"{'VTI', 'VO', 'VB', 'ICF', 'VEU', 'VWO', 'RWR', 'BND'}",8,True
82,2013-11-30,0.6000000000000001,0.16374269005847952,"{'RWR', 'ICF', 'VWO', 'USRT'}",4,True
83,2014-04-30,0.6000000000000001,0.17543859649122806,"{'VTI', 'MUB', 'VB', 'VEU', 'BND'}",5,True
84,2014-09-30,0.6000000000000001,0.13450292397660818,"{'MUB', 'TLT', 'TIP', 'BND'}",4,True
85,2015-02-28,0.6000000000000001,0.17543859649122806,"{'MUB', 'SHY', 'TLT', 'TIP', 'BND'}",5,True
86,2015-07-31,0.6000000000000001,0.2046783625730994,"{'VTI', 'MUB', 'VO', 'VEU', 'BND'}",5,True
87,2015-12-31,0.6000000000000001,0.21637426900584794,"{'VTI', 'USRT', 'VO', 'VB', 'ICF', 'VEU', 'RWR'}",7,True
88,2016-05-31,0.6000000000000001,0.1871345029239766,"{'VO', 'VB', 'VTI', 'VEU'}",4,True
89,2016-10-31,0.6000000000000001,0.18128654970760233,"{'VTI', 'VO', 'VB', 'VEU', 'VWO'}",5,True
90,2017-03-31,0.6000000000000001,0.2573099415204678,"{'VTI', 'VO', 'VB', 'VEU', 'VWO', 'DBB'}",6,True
91,2017-08-31,0.6000000000000001,0.15789473684210525,"{'MUB', 'SHY', 'TLT', 'TIP', 'BND'}",5,True
92,2008-06-30,0.7000000000000002,0.15789473684210525,"{'VTI', 'VO', 'VB', 'ICF', 'RWR'}",5,True
93,2008-11-30,0.7000000000000002,0.25146198830409355,"{'VTI', 'VO', 'VB', 'VEU', 'VWO', 'RWR', 'USO'}",7,True
94,2009-04-30,0.7000000000000002,0.26900584795321636,"{'VTI', 'VO', 'VB', 'ICF', 'VEU', 'VWO', 'RWR', 'USO'}",8,True
95,2009-09-30,0.7000000000000002,0.19883040935672514,"{'VTI', 'USRT', 'VO', 'VB', 'ICF', 'VEU', 'VWO', 'RWR'}",8,True
96,2010-02-28,0.7000000000000002,0.39766081871345027,"{'VTI', 'GLD', 'VO', 'DBE', 'VEU', 'VWO', 'SLV', 'DBB', 'USO'}",9,True
97,2010-07-31,0.7000000000000002,0.24561403508771928,"{'VTI', 'VO', 'VB', 'RWR', 'BND'}",5,True
98,2010-12-31,0.7000000000000002,0.11695906432748537,"{'SHY', 'TLT', 'TIP', 'BND'}",4,True
99,2011-05-31,0.7000000000000002,0.2222222222222222,"{'VTI', 'USRT', 'VO', 'VB', 'ICF', 'VEU', 'VWO', 'RWR'}",8,True
100,2011-10-31,0.7000000000000002,0.3508771929824561,"{'VTI', 'VO', 'VB', 'VEU', 'VWO', 'TLT', 'BND'}",7,True
101,2012-03-31,0.7000000000000002,0.19298245614035087,"{'VTI', 'VO', 'VB', 'VEU', 'VWO', 'DBB'}",6,True
102,2012-08-31,0.7000000000000002,0.14035087719298245,"{'VO', 'VB', 'VTI', 'VEU'}",4,True
103,2013-01-31,0.7000000000000002,0.13450292397660818,"{'VTI', 'USRT', 'VO', 'ICF', 'RWR'}",5,True
104,2013-06-30,0.7000000000000002,0.23976608187134502,"{'USRT', 'VO', 'VB', 'ICF', 'VWO', 'RWR', 'BND'}",7,True
105,2013-11-30,0.7000000000000002,0.09941520467836257,"{'MUB', 'TLT', 'TIP', 'BND'}",4,True
106,2014-04-30,0.7000000000000002,0.14035087719298245,"{'VO', 'VB', 'VTI', 'VEU'}",4,True
107,2014-09-30,0.7000000000000002,0.0935672514619883,"{'VO', 'VB', 'VTI'}",3,True
108,2015-02-28,0.7000000000000002,0.14619883040935672,"{'VTI', 'VO', 'VB', 'VEU', 'VWO'}",5,True
109,2015-07-31,0.7000000000000002,0.15204678362573099,"{'VO', 'VB', 'VTI', 'VWO'}",4,True
110,2015-12-31,0.7000000000000002,0.19298245614035087,"{'VTI', 'USRT', 'VO', 'VB', 'ICF', 'VEU', 'RWR'}",7,True
111,2016-05-31,0.7000000000000002,0.13450292397660818,"{'VTI', 'VO', 'VB', 'VEU', 'VWO'}",5,True
112,2016-10-31,0.7000000000000002,0.11695906432748537,"{'VTI', 'VO', 'VB', 'VEU', 'VWO'}",5,True
113,2017-03-31,0.7000000000000002,0.19883040935672514,"{'VTI', 'VO', 'VB', 'VEU', 'DBB'}",5,True
114,2017-08-31,0.7000000000000002,0.1286549707602339,"{'VTI', 'VO', 'VB', 'VEU', 'VWO'}",5,True
115,2008-06-30,0.8000000000000003,0.09941520467836257,"{'VB', 'VTI', 'ICF', 'RWR'}",4,True
116,2008-11-30,0.8000000000000003,0.15204678362573099,"{'VTI', 'VO', 'VB', 'ICF', 'VEU', 'VWO', 'RWR'}",7,True
117,2009-04-30,0.8000000000000003,0.1871345029239766,"{'VTI', 'USRT', 'VB', 'ICF', 'RWR'}",5,True
118,2009-09-30,0.8000000000000003,0.15204678362573099,"{'VTI', 'USRT', 'VO', 'VB', 'ICF', 'VEU', 'RWR'}",7,True
119,2010-02-28,0.8000000000000003,0.27485380116959063,"{'VTI', 'USRT', 'VO', 'VB', 'RWR'}",5,True
120,2010-07-31,0.8000000000000003,0.1286549707602339,"{'VTI', 'VO', 'VB', 'ICF', 'RWR'}",5,True
121,2010-12-31,0.8000000000000003,0.0935672514619883,"{'VO', 'VB', 'VTI'}",3,True
122,2011-05-31,0.8000000000000003,0.15204678362573099,"{'VTI', 'VO', 'ICF', 'VEU', 'RWR'}",5,True
123,2011-10-31,0.8000000000000003,0.21637426900584794,"{'VTI', 'USRT', 'VO', 'VB', 'RWR'}",5,True
124,2012-03-31,0.8000000000000003,0.14035087719298245,"{'VTI', 'VO', 'VB', 'VEU', 'VWO', 'DBB'}",6,True
125,2012-08-31,0.8000000000000003,0.11695906432748537,"{'VO', 'VB', 'VTI'}",3,True
126,2013-01-31,0.8000000000000003,0.07602339181286549,"{'VO', 'VB', 'VTI'}",3,True
127,2013-06-30,0.8000000000000003,0.17543859649122806,"{'USRT', 'VO', 'VB', 'ICF', 'VWO', 'RWR'}",6,True
128,2013-11-30,0.8000000000000003,0.07602339181286549,"{'MUB', 'TLT', 'TIP', 'BND'}",4,True
129,2014-04-30,0.8000000000000003,0.0935672514619883,"{'VO', 'VB', 'VTI', 'VEU'}",4,True
130,2014-09-30,0.8000000000000003,0.05847953216374269,"{'VO', 'VB', 'VTI'}",3,True
131,2015-02-28,0.8000000000000003,0.1111111111111111,"{'VO', 'VB', 'VTI', 'VEU'}",4,True
132,2015-07-31,0.8000000000000003,0.07602339181286549,"{'VO', 'VB', 'VTI'}",3,True
133,2015-12-31,0.8000000000000003,0.13450292397660818,"{'ICF', 'VTI', 'USRT', 'RWR'}",4,True
134,2016-05-31,0.8000000000000003,0.08187134502923976,"{'VO', 'VB', 'VTI', 'VEU'}",4,True
135,2016-10-31,0.8000000000000003,0.0935672514619883,"{'VO', 'VB', 'VTI', 'VWO'}",4,True
136,2017-03-31,0.8000000000000003,0.09941520467836257,"{'ICF', 'USRT', 'RWR'}",3,True
137,2017-08-31,0.8000000000000003,0.10526315789473684,"{'VO', 'VB', 'VTI', 'VEU'}",4,True
138,2008-06-30,0.9000000000000001,0.029239766081871343,"{'VO', 'VB', 'VTI'}",3,True
139,2008-11-30,0.9000000000000001,0.10526315789473684,"{'VTI', 'VO', 'VB', 'ICF', 'RWR'}",5,True
140,2009-04-30,0.9000000000000001,0.06432748538011696,"{'ICF', 'USRT', 'RWR'}",3,True
141,2009-09-30,0.9000000000000001,0.08187134502923976,"{'VO', 'ICF', 'VTI', 'RWR'}",4,True
142,2010-02-28,0.9000000000000001,0.0935672514619883,"{'VO', 'SLV', 'GLD'}",3,True
143,2010-07-31,0.9000000000000001,0.07602339181286549,"{'VTI', 'VO', 'VB', 'ICF', 'RWR'}",5,True
144,2010-12-31,0.9000000000000001,0.05263157894736842,"{'ICF', 'USRT', 'RWR'}",3,True
145,2011-05-31,0.9000000000000001,0.05263157894736842,"{'VO', 'VB', 'VTI'}",3,True
146,2011-10-31,0.9000000000000001,0.07602339181286549,"{'VO', 'VB', 'ICF', 'RWR'}",4,True
147,2012-03-31,0.9000000000000001,0.08771929824561403,"{'ICF', 'USRT', 'RWR'}",3,True
148,2012-08-31,0.9000000000000001,0.04678362573099415,"{'ICF', 'USRT', 'RWR'}",3,True
149,2013-01-31,0.9000000000000001,0.029239766081871343,"{'VO', 'VB', 'VTI'}",3,True
150,2013-06-30,0.9000000000000001,0.08187134502923976,"{'VO', 'VB', 'VTI', 'VEU'}",4,True
151,2013-11-30,0.9000000000000001,0.04678362573099415,"{'VO', 'VB', 'VTI'}",3,True
152,2014-04-30,0.9000000000000001,0.023391812865497075,"{'VO', 'VB', 'VTI'}",3,True
153,2014-09-30,0.9000000000000001,0.04678362573099415,"{'VO', 'VB', 'VTI'}",3,True
154,2015-02-28,0.9000000000000001,0.05847953216374269,"{'VO', 'VB', 'VTI'}",3,True
155,2015-07-31,0.9000000000000001,0.05263157894736842,"{'VO', 'VB', 'VTI'}",3,True
156,2015-12-31,0.9000000000000001,0.07017543859649122,"{'VO', 'VB', 'VTI', 'VEU'}",4,True
157,2016-05-31,0.9000000000000001,0.06432748538011696,"{'VO', 'VB', 'VTI'}",3,True
158,2016-10-31,0.9000000000000001,0.05847953216374269,"{'VO', 'VB', 'VTI'}",3,True
159,2017-03-31,0.9000000000000001,0.06432748538011696,"{'VO', 'VB', 'VTI'}",3,True
160,2017-08-31,0.9000000000000001,0.05263157894736842,"{'VO', 'VB', 'VTI'}",3,True
