,date,threshold,density,max_clique,clique_size,valid_clique
0,2008-06-30,0.3,0.8909090909090909,"{'XLY', 'XLI', 'XLV', 'RWR', 'IYT', 'XLF', 'XLP', 'XLU', 'XLK', 'XLB'}",10,True
1,2009-04-30,0.3,0.9090909090909091,"{'XLE', 'XLY', 'XLI', 'RWR', 'IYT', 'XLF', 'XLP', 'XLU', 'XLK', 'XLB'}",10,True
2,2010-12-31,0.3,0.9090909090909091,"{'XLE', 'XLY', 'XLI', 'XLV', 'IYT', 'XLF', 'XLU', 'XLK', 'XLB'}",9,True
3,2011-05-31,0.3,0.9272727272727272,"{'XLE', 'XLY', 'XLI', 'XLV', 'RWR', 'IYT', 'XLF', 'XLK', 'XLB'}",9,True
4,2012-03-31,0.3,0.9090909090909091,"{'XLE', 'XLY', 'XLI', 'XLV', 'RWR', 'IYT', 'XLF', 'XLP', 'XLK', 'XLB'}",10,True
5,2012-08-31,0.3,0.9454545454545454,"{'XLY', 'XLI', 'XLV', 'IYT', 'XLF', 'XLP', 'XLU', 'XLK', 'XLB'}",9,True
6,2013-01-31,0.3,0.8,"{'XLY', 'XLI', 'XLV', 'RWR', 'IYT', 'XLF', 'XLP', 'XLB'}",8,True
7,2013-11-30,0.3,0.9818181818181818,"{'XLE', 'XLY', 'XLI', 'RWR', 'IYT', 'XLF', 'XLP', 'XLU', 'XLK', 'XLB'}",10,True
8,2014-04-30,0.3,0.8545454545454545,"{'XLE', 'XLY', 'XLI', 'XLV', 'RWR', 'IYT', 'XLF', 'XLP', 'XLK', 'XLB'}",10,True
9,2014-09-30,0.3,0.9090909090909091,"{'XLE', 'XLY', 'XLI', 'XLV', 'RWR', 'IYT', 'XLP', 'XLB'}",8,True
10,2015-02-28,0.3,0.8909090909090909,"{'XLI', 'XLV', 'RWR', 'IYT', 'XLP', 'XLU', 'XLK', 'XLB'}",8,True
11,2015-07-31,0.3,0.8363636363636363,"{'XLY', 'XLI', 'XLV', 'RWR', 'IYT', 'XLF', 'XLP'}",7,True
12,2016-05-31,0.3,0.7818181818181819,"{'XLY', 'XLI', 'XLV', 'RWR', 'IYT', 'XLF', 'XLK'}",7,True
13,2016-10-31,0.3,0.6545454545454545,"{'XLE', 'XLY', 'XLI', 'IYT', 'XLF', 'XLK', 'XLB'}",7,True
14,2017-03-31,0.3,0.7454545454545455,"{'XLE', 'XLY', 'XLI', 'XLV', 'IYT', 'XLF', 'XLK', 'XLB'}",8,True
15,2017-08-31,0.3,0.7272727272727273,"{'XLY', 'RWR', 'IYT', 'XLF', 'XLP', 'XLK', 'XLB'}",7,True
