,date,threshold,density,frustration_score
0,2007-06-30,0.5,0.028600612870275793,0.0
1,2007-11-30,0.5,0.04341164453524004,0.0
2,2008-04-30,0.5,0.01251276813074566,0.0
3,2008-09-30,0.5,0.12180796731358529,0.0
4,2009-02-28,0.5,0.047752808988764044,0.0
5,2009-07-31,0.5,0.013023493360572012,0.0
6,2009-12-31,0.5,0.0020429009193054137,0.0
7,2010-05-31,0.5,0.2719611848825332,0.0
8,2010-10-31,0.5,0.004341164453524004,0.0
9,2011-03-31,0.5,0.03038815117466803,0.0
10,2012-01-31,0.5,0.0015321756894790602,0.0
11,2012-06-30,0.5,0.1381511746680286,0.0
12,2012-11-30,0.5,0.0482635342185904,0.0
13,2013-04-30,0.5,0.008682328907048007,0.0
14,2013-09-30,0.5,0.008937691521961185,0.0
15,2014-02-28,0.5,0.022727272727272728,0.0
16,2014-07-31,0.5,0.008682328907048007,0.0
17,2014-12-31,0.5,0.04341164453524004,0.0
18,2015-05-31,0.5,0.029111338100102146,0.0
19,2015-10-31,0.5,0.014555669050051073,0.0
20,2016-03-31,0.5,0.012002042900919305,0.0
21,2016-08-31,0.5,0.007405515832482125,0.0
22,2017-01-31,0.5,0.004341164453524004,0.0
23,2017-06-30,0.5,0.009959141981613892,0.0
24,2007-06-30,0.6,0.028600612870275793,0.0
25,2007-11-30,0.6,0.04341164453524004,0.0
26,2008-04-30,0.6,0.01251276813074566,0.02040816326530612
27,2008-09-30,0.6,0.12180796731358529,0.0
28,2009-02-28,0.6,0.047752808988764044,0.0
29,2009-07-31,0.6,0.013023493360572012,0.0
30,2009-12-31,0.6,0.0020429009193054137,0.0
31,2010-05-31,0.6,0.2719611848825332,0.0
32,2010-10-31,0.6,0.004341164453524004,0.0
33,2011-03-31,0.6,0.03038815117466803,0.0
34,2012-01-31,0.6,0.0015321756894790602,0.0
35,2012-06-30,0.6,0.1381511746680286,0.0
36,2012-11-30,0.6,0.0482635342185904,0.0
37,2013-04-30,0.6,0.008682328907048007,0.0
38,2013-09-30,0.6,0.008937691521961185,0.0
39,2014-02-28,0.6,0.022727272727272728,0.0
40,2014-07-31,0.6,0.008682328907048007,0.0
41,2014-12-31,0.6,0.04341164453524004,0.0
42,2015-05-31,0.6,0.029111338100102146,0.0
43,2015-10-31,0.6,0.014555669050051073,0.0
44,2016-03-31,0.6,0.012002042900919305,0.0
45,2016-08-31,0.6,0.007405515832482125,0.0
46,2017-01-31,0.6,0.004341164453524004,0.0
47,2017-06-30,0.6,0.009959141981613892,0.0
48,2007-06-30,0.7,0.028600612870275793,0.0
49,2007-11-30,0.7,0.04341164453524004,0.0
50,2008-04-30,0.7,0.01251276813074566,0.0
51,2008-09-30,0.7,0.12180796731358529,0.0
52,2009-02-28,0.7,0.047752808988764044,0.0
53,2009-07-31,0.7,0.013023493360572012,0.0
54,2009-12-31,0.7,0.0020429009193054137,0.0
55,2010-05-31,0.7,0.2719611848825332,0.0
56,2010-10-31,0.7,0.004341164453524004,0.0
57,2011-03-31,0.7,0.03038815117466803,0.0
58,2012-01-31,0.7,0.0015321756894790602,0.0
59,2012-06-30,0.7,0.1381511746680286,0.0
60,2012-11-30,0.7,0.0482635342185904,0.0
61,2013-04-30,0.7,0.008682328907048007,0.0
62,2013-09-30,0.7,0.008937691521961185,0.0
63,2014-02-28,0.7,0.022727272727272728,0.0
64,2014-07-31,0.7,0.008682328907048007,0.0
65,2014-12-31,0.7,0.04341164453524004,0.0
66,2015-05-31,0.7,0.029111338100102146,0.0
67,2015-10-31,0.7,0.014555669050051073,0.0
68,2016-03-31,0.7,0.012002042900919305,0.0
69,2016-08-31,0.7,0.007405515832482125,0.0
70,2017-01-31,0.7,0.004341164453524004,0.0
71,2017-06-30,0.7,0.009959141981613892,0.0
72,2007-06-30,0.7999999999999999,0.028600612870275793,0.0
73,2007-11-30,0.7999999999999999,0.04341164453524004,0.0
74,2008-04-30,0.7999999999999999,0.01251276813074566,0.0
75,2008-09-30,0.7999999999999999,0.12180796731358529,0.0
76,2009-02-28,0.7999999999999999,0.047752808988764044,0.0
77,2009-07-31,0.7999999999999999,0.013023493360572012,0.0
78,2009-12-31,0.7999999999999999,0.0020429009193054137,0.0
79,2010-05-31,0.7999999999999999,0.2719611848825332,0.0
80,2010-10-31,0.7999999999999999,0.004341164453524004,0.0
81,2011-03-31,0.7999999999999999,0.03038815117466803,0.0
82,2012-01-31,0.7999999999999999,0.0015321756894790602,0.0
83,2012-06-30,0.7999999999999999,0.1381511746680286,0.0
84,2012-11-30,0.7999999999999999,0.0482635342185904,0.0
85,2013-04-30,0.7999999999999999,0.008682328907048007,0.0
86,2013-09-30,0.7999999999999999,0.008937691521961185,0.0
87,2014-02-28,0.7999999999999999,0.022727272727272728,0.0
88,2014-07-31,0.7999999999999999,0.008682328907048007,0.0
89,2014-12-31,0.7999999999999999,0.04341164453524004,0.0
90,2015-05-31,0.7999999999999999,0.029111338100102146,0.0
91,2015-10-31,0.7999999999999999,0.014555669050051073,0.0
92,2016-03-31,0.7999999999999999,0.012002042900919305,0.0
93,2016-08-31,0.7999999999999999,0.007405515832482125,0.0
94,2017-01-31,0.7999999999999999,0.004341164453524004,0.0
95,2017-06-30,0.7999999999999999,0.009959141981613892,0.0
