,date,threshold,density,frustration_score
0,2008-11-30,0.3,0.34545454545454546,0.0
1,2009-04-30,0.3,0.07272727272727272,0.0
2,2009-09-30,0.3,0.03636363636363636,0.0
3,2010-02-28,0.3,0.18181818181818182,0.0
4,2010-07-31,0.3,0.16363636363636364,0.0
5,2011-10-31,0.3,0.4,0.0
6,2012-03-31,0.3,0.01818181818181818,0.0
7,2012-08-31,0.3,0.01818181818181818,0.0
8,2013-06-30,0.3,0.38181818181818183,0.0
9,2014-04-30,0.3,0.12727272727272726,0.0
10,2014-09-30,0.3,0.03636363636363636,0.0
11,2015-07-31,0.3,0.01818181818181818,0.0
12,2015-12-31,0.3,0.2,0.0
13,2017-03-31,0.3,0.05454545454545454,0.0
14,2017-08-31,0.3,0.01818181818181818,0.0
15,2008-11-30,0.4,0.34545454545454546,0.0
16,2009-04-30,0.4,0.07272727272727272,0.0
17,2009-09-30,0.4,0.03636363636363636,0.0
18,2010-02-28,0.4,0.18181818181818182,0.0
19,2010-07-31,0.4,0.16363636363636364,0.0
20,2011-10-31,0.4,0.4,0.0
21,2012-03-31,0.4,0.01818181818181818,0.0
22,2012-08-31,0.4,0.01818181818181818,0.0
23,2013-06-30,0.4,0.38181818181818183,0.0
24,2014-04-30,0.4,0.12727272727272726,0.0
25,2014-09-30,0.4,0.03636363636363636,0.0
26,2015-07-31,0.4,0.01818181818181818,0.0
27,2015-12-31,0.4,0.2,0.0
28,2017-03-31,0.4,0.05454545454545454,0.0
29,2017-08-31,0.4,0.01818181818181818,0.0
30,2008-11-30,0.5,0.34545454545454546,0.0
31,2009-04-30,0.5,0.07272727272727272,0.0
32,2009-09-30,0.5,0.03636363636363636,0.0
33,2010-02-28,0.5,0.18181818181818182,0.0
34,2010-07-31,0.5,0.16363636363636364,0.0
35,2011-10-31,0.5,0.4,0.0
36,2012-03-31,0.5,0.01818181818181818,0.0
37,2012-08-31,0.5,0.01818181818181818,0.0
38,2013-06-30,0.5,0.38181818181818183,0.0
39,2014-04-30,0.5,0.12727272727272726,0.0
40,2014-09-30,0.5,0.03636363636363636,0.0
41,2015-07-31,0.5,0.01818181818181818,0.0
42,2015-12-31,0.5,0.2,0.0
43,2017-03-31,0.5,0.05454545454545454,0.0
44,2017-08-31,0.5,0.01818181818181818,0.0
45,2008-11-30,0.6000000000000001,0.34545454545454546,0.0
46,2009-04-30,0.6000000000000001,0.07272727272727272,0.0
47,2009-09-30,0.6000000000000001,0.03636363636363636,0.0
48,2010-02-28,0.6000000000000001,0.18181818181818182,0.0
49,2010-07-31,0.6000000000000001,0.16363636363636364,0.0
50,2011-10-31,0.6000000000000001,0.4,0.0
51,2012-03-31,0.6000000000000001,0.01818181818181818,0.0
52,2012-08-31,0.6000000000000001,0.01818181818181818,0.0
53,2013-06-30,0.6000000000000001,0.38181818181818183,0.0
54,2014-04-30,0.6000000000000001,0.12727272727272726,0.0
55,2014-09-30,0.6000000000000001,0.03636363636363636,0.0
56,2015-07-31,0.6000000000000001,0.01818181818181818,0.0
57,2015-12-31,0.6000000000000001,0.2,0.0
58,2017-03-31,0.6000000000000001,0.05454545454545454,0.0
59,2017-08-31,0.6000000000000001,0.01818181818181818,0.0
60,2008-11-30,0.7000000000000002,0.34545454545454546,0.0
61,2009-04-30,0.7000000000000002,0.07272727272727272,0.0
62,2009-09-30,0.7000000000000002,0.03636363636363636,0.0
63,2010-02-28,0.7000000000000002,0.18181818181818182,0.0
64,2010-07-31,0.7000000000000002,0.16363636363636364,0.0
65,2011-10-31,0.7000000000000002,0.4,0.0
66,2012-03-31,0.7000000000000002,0.01818181818181818,0.0
67,2012-08-31,0.7000000000000002,0.01818181818181818,0.0
68,2013-06-30,0.7000000000000002,0.38181818181818183,0.0
69,2014-04-30,0.7000000000000002,0.12727272727272726,0.0
70,2014-09-30,0.7000000000000002,0.03636363636363636,0.0
71,2015-07-31,0.7000000000000002,0.01818181818181818,0.0
72,2015-12-31,0.7000000000000002,0.2,0.0
73,2017-03-31,0.7000000000000002,0.05454545454545454,0.0
74,2017-08-31,0.7000000000000002,0.01818181818181818,0.0
