,bicoloring,date,density,frustration_score,threshold
14,"{'IHG': 0, 'III': 0, 'CRH': 0, 'PSON': 0, 'GSK': 0, 'MRO': 0, 'TSCO': 0, 'AZN': 0, 'WPP': 0, 'PRU': 0, 'VOD': 0, 'SVT': 0, 'RIO': 0, 'IAG': 0, 'CCL': 0, 'EVR': 0, 'RBS': 0, 'ADM': 0, 'AHT': 0, 'CNA': 0, 'STAN': 0}",2014-04-30,0.780952380952381,0.12804878048780488,0.1
15,"{'IHG': 0, 'III': 0, 'CRH': 0, 'PSON': 1, 'GSK': 0, 'MRO': 0, 'TSCO': 0, 'AZN': 0, 'WPP': 0, 'PRU': 0, 'VOD': 0, 'SVT': 0, 'RIO': 0, 'IAG': 1, 'CCL': 0, 'EVR': 0, 'RBS': 0, 'ADM': 0, 'AHT': 0, 'CNA': 0, 'STAN': 0}",2014-09-30,0.7952380952380952,0.09580838323353294,0.1
16,"{'IHG': 1, 'III': 1, 'CRH': 1, 'PSON': 1, 'GSK': 1, 'MRO': 1, 'TSCO': 1, 'AZN': 1, 'WPP': 1, 'PRU': 1, 'VOD': 1, 'SVT': 0, 'RIO': 1, 'IAG': 0, 'CCL': 1, 'EVR': 1, 'RBS': 1, 'ADM': 1, 'AHT': 1, 'CNA': 1, 'STAN': 1}",2015-02-28,0.780952380952381,0.0975609756097561,0.1
17,"{'IHG': 0, 'III': 0, 'CRH': 0, 'PSON': 0, 'GSK': 0, 'MRO': 0, 'TSCO': 0, 'AZN': 0, 'WPP': 0, 'PRU': 0, 'VOD': 0, 'SVT': 0, 'RIO': 0, 'IAG': 1, 'CCL': 0, 'EVR': 0, 'RBS': 0, 'ADM': 0, 'AHT': 0, 'CNA': 0, 'STAN': 0}",2015-07-31,0.8571428571428571,0.044444444444444446,0.1
18,"{'IHG': 0, 'III': 0, 'CRH': 0, 'PSON': 0, 'GSK': 0, 'MRO': 0, 'TSCO': 0, 'AZN': 0, 'WPP': 0, 'PRU': 0, 'VOD': 0, 'SVT': 0, 'RIO': 0, 'IAG': 0, 'CCL': 0, 'EVR': 0, 'RBS': 0, 'ADM': 0, 'AHT': 0, 'CNA': 0, 'STAN': 0}",2015-12-31,0.8952380952380953,0.0425531914893617,0.1
19,"{'IHG': 1, 'III': 1, 'CRH': 1, 'PSON': 0, 'GSK': 1, 'MRO': 1, 'TSCO': 1, 'AZN': 1, 'WPP': 1, 'PRU': 1, 'VOD': 1, 'SVT': 1, 'RIO': 1, 'IAG': 0, 'CCL': 1, 'EVR': 1, 'RBS': 1, 'ADM': 1, 'AHT': 1, 'CNA': 1, 'STAN': 1}",2016-05-31,0.8952380952380953,0.031914893617021274,0.1
20,"{'IHG': 1, 'III': 1, 'CRH': 1, 'PSON': 1, 'GSK': 1, 'MRO': 1, 'TSCO': 1, 'AZN': 1, 'WPP': 1, 'PRU': 1, 'VOD': 1, 'SVT': 1, 'RIO': 1, 'IAG': 1, 'CCL': 1, 'EVR': 1, 'RBS': 1, 'ADM': 1, 'AHT': 1, 'CNA': 1, 'STAN': 1}",2016-10-31,0.7428571428571429,0.038461538461538464,0.1
21,"{'IHG': 1, 'III': 1, 'CRH': 1, 'PSON': 0, 'GSK': 1, 'MRO': 1, 'TSCO': 1, 'AZN': 1, 'WPP': 1, 'PRU': 1, 'VOD': 1, 'SVT': 1, 'RIO': 1, 'IAG': 1, 'CCL': 1, 'EVR': 1, 'RBS': 1, 'ADM': 1, 'AHT': 1, 'CNA': 1, 'STAN': 1}",2017-03-31,0.719047619047619,0.16556291390728478,0.1
22,"{'IHG': 1, 'III': 1, 'CRH': 1, 'PSON': 0, 'GSK': 1, 'MRO': 1, 'TSCO': 1, 'AZN': 1, 'WPP': 1, 'PRU': 1, 'VOD': 1, 'SVT': 0, 'RIO': 1, 'IAG': 1, 'CCL': 1, 'EVR': 1, 'RBS': 1, 'ADM': 1, 'AHT': 1, 'CNA': 1, 'STAN': 1}",2017-08-31,0.7761904761904762,0.147239263803681,0.1
23,"{'IHG': 0, 'III': 0, 'CRH': 0, 'PSON': 0, 'GSK': 0, 'MRO': 0, 'TSCO': 0, 'AZN': 0, 'WPP': 0, 'PRU': 0, 'VOD': 0, 'SVT': 0, 'RIO': 0, 'IAG': 1, 'CCL': 0, 'EVR': 0, 'RBS': 0, 'ADM': 0, 'AHT': 0, 'CNA': 0, 'STAN': 0}",2008-06-30,0.6333333333333333,0.05263157894736842,0.2
