,date,threshold,density,max_ind_set,set_size,valid_soln
64,2015-12-31,0.30000000000000004,0.4678362573099415,"{'VWO', 'BND', 'UNG', 'DBB'}",4,True
65,2016-05-31,0.30000000000000004,0.47953216374269003,"{'ICF', 'UNG', 'DBB', 'TIP'}",4,True
66,2016-10-31,0.30000000000000004,0.5730994152046783,"{'VWO', 'BND', 'UNG'}",3,True
67,2017-03-31,0.30000000000000004,0.6666666666666666,"{'VWO', 'BND', 'UNG'}",3,True
68,2017-08-31,0.30000000000000004,0.4502923976608187,"{'DBE', 'BND', 'DBB', 'ICF', 'UNG'}",5,True
69,2008-06-30,0.4,0.5964912280701754,"{'VWO', 'DBE', 'BND', 'MUB'}",4,True
70,2008-11-30,0.4,0.6549707602339181,"{'GLD', 'BND', 'DBB', 'MUB'}",4,True
71,2009-04-30,0.4,0.5789473684210527,"{'VWO', 'BND', 'UNG', 'MUB', 'SLV'}",5,True
72,2009-09-30,0.4,0.49122807017543857,"{'DBB', 'VB', 'BND', 'MUB'}",4,True
73,2010-02-28,0.4,0.6783625730994152,"{'DBB', 'UNG', 'MUB', 'TIP'}",4,True
74,2010-07-31,0.4,0.6081871345029239,"{'GLD', 'BND', 'UNG', 'MUB'}",4,True
75,2010-12-31,0.4,0.3216374269005848,"{'UNG', 'GLD', 'BND', 'DBB', 'ICF', 'USO'}",6,True
76,2011-05-31,0.4,0.5789473684210527,"{'VWO', 'TIP', 'BND', 'UNG', 'MUB'}",5,True
77,2011-10-31,0.4,0.6491228070175439,"{'GLD', 'BND', 'UNG', 'MUB'}",4,True
78,2012-03-31,0.4,0.52046783625731,"{'GLD', 'BND', 'USRT'}",3,True
79,2012-08-31,0.4,0.34502923976608185,"{'SHY', 'VB', 'ICF', 'UNG', 'MUB'}",5,True
80,2013-01-31,0.4,0.13450292397660818,"{'VWO', 'DBE', 'SHY', 'GLD', 'VB', 'BND', 'DBB', 'USO', 'ICF', 'UNG', 'MUB'}",11,True
81,2013-06-30,0.4,0.5555555555555556,"{'GLD', 'BND', 'UNG'}",3,True
82,2013-11-30,0.4,0.36257309941520466,"{'BND', 'ICF', 'UNG', 'DBB'}",4,True
83,2014-04-30,0.4,0.34502923976608185,"{'RWR', 'BND', 'DBE', 'SLV'}",4,True
84,2014-09-30,0.4,0.3391812865497076,"{'VEU', 'BND', 'DBB', 'ICF', 'UNG', 'SLV'}",6,True
85,2015-02-28,0.4,0.3742690058479532,"{'BND', 'ICF', 'UNG', 'DBB'}",4,True
86,2015-07-31,0.4,0.4269005847953216,"{'GLD', 'RWR', 'BND', 'UNG'}",4,True
